ContentTypeID	ContentID	TypeOrder	EntryInL1	EntryInL2	Frequency	RecordingFileName
742160	430	0	elders 			
742161	430	0	usually 			
742162	430	0	the moment 			
742163	430	0	transfer			
742164	430	0	orison			
742165	430	0	they read			
742166	430	0	letter			
742167	430	0	Sin			
742168	430	0	three			
742169	430	0	grass			
742170	430	0	thirteen 			
742171	430	0	nature			
742172	430	0	night			
742173	430	0	they have			
742174	430	0	example 			
742175	430	0	we divide 			
742176	430	0	base of 			
742177	430	0	national 			
742178	430	0	they			
742179	430	0	toward 			
742180	430	0	somebody			
742181	430	0	a thing			
742182	430	0	remove			
742183	430	0	what			
742184	430	0	the number of			
742185	430	0	Mostofi			
742186	430	0	that			
742187	430	0	the mistake			
742188	430	0	we			
742189	430	0	blessed			
742190	430	0	you came 			
742191	430	0	Ok			
742192	430	0	thank you			
742193	430	0	new			
742194	430	0	home of 			
742195	430	0	big/ large			
742196	430	0	Companions			
742197	430	0	waiting			
742198	430	0	his life 			
742199	430	0	they had 			
742200	430	0	memory			
742201	430	0	beings			
742202	430	0	twenty two			
742203	430	0	the most famous 			
742204	430	0	Superior			
742205	430	0	rich			
742206	430	0	there			
742207	430	0	soldier 			
742208	430	0	return 			
742209	430	0	Role			
742210	430	0	Was on the move			
742211	430	0	I want			
742212	430	0	I have done			
742213	430	0	will			
742214	430	0	you show			
742215	430	0	cruelty			
742216	430	0	Infidelity			
742217	430	0	weaving carpet			
742218	430	0	Drawing			
742219	430	0	bodily 			
742220	430	0	Dramatic			
742221	430	0	cinema 			
742222	430	0	theater 			
742223	430	0	longevity			
742224	430	0	returns 			
742225	430	0	samples 			
742226	430	0	mosque 			
742227	430	0	Glassblowing			
742228	430	0	top			
742229	430	0	painting 			
742230	430	0	Calligraphy			
742231	430	0	interest of			
742232	430	0	Abundance			
742233	430	0	Many			
742234	430	0	they know			
742235	430	0	epic			
742236	430	0	Literary			
742237	430	0	sports 			
742238	430	0	wrestling 			
742239	430	0	Asghar 			
742240	430	0	Farhadi			
742001	430	0	four			
742002	430	0	season			
742003	430	0	space			
742004	430	0	different 			
742005	430	0	has			
742006	430	0	provinces 			
742007	430	0	such as			
742008	430	0	Mashhad			
742009	430	0	Azerbaijan 			
742010	430	0	Shiraz			
742011	430	0	culture			
742012	430	0	Region			
742013	430	0	Khazar			
742014	430	0	the biggest 			
742015	430	0	Oman			
742016	430	0	The most important			
742017	430	0	Iraq			
742018	430	0	attraction 			
742019	430	0	Available			
742020	430	0				
742021	430	0	bed			
742022	430	0	Jamshid			
742023	430	0	vicinity			
742024	430	0	Square			
742025	430	0	Million			
742026	430	0	person			
742027	430	0	sister			
742028	430	0	Qom			
742029	430	0	Religious			
742030	430	0	second			
742031	430	0	viewers			
742032	430	0	today			
742033	430	0	Dariush			
742034	430	0	we are			
742035	430	0	health			
742036	430	0	 ask			
742037	430	0	TV			
742038	430	0	I wanted			
742039	430	0	foods			
742040	430	0	fruits 			
742041	430	0	say hello			
742042	430	0	when			
742043	430	0	Cause			
742044	430	0	works 			
742045	430	0	do			
742046	430	0	tea			
742047	430	0	be			
742048	430	0	Bathroom			
742049	430	0	good			
742050	430	0	to sleep			
742051	430	0	sentence			
742052	430	0	things 			
742053	430	0	material 			
742054	430	0	fish			
742055	430	0	no			
742056	430	0	sugar 			
742057	430	0	Mirza			
742058	430	0	Taghi Khan			
742059	430	0	birth			
742060	430	0	Ghajarieh 			
742061	430	0	power			
742062	430	0	poor			
742063	430	0	his father			
742064	430	0	came			
742065	430	0	level-floor			
742066	430	0	society 			
742067	430	0	front side			
742068	430	0	salary 			
742069	430	0	royalty 			
742070	430	0	decadence			
742071	430	0	Development			
742072	430	0	agent			
742073	430	0	knew			
742074	430	0	create 			
742075	430	0	security 			
742076	430	0	the first 			
742077	430	0	between			
742078	430	0	he created 			
742079	430	0	then			
742080	430	0	inside 			
742081	430	0	1230			
742082	430	0	birth of Christ			
742083	430	0	name			
742084	430	0	Darolfonoon- house of science 			
742085	430	0	professors 			
742086	430	0	fields 			
742087	430	0	Languages of			
742088	430	0	action			
742089	430	0	three			
742090	430	0	wealth 			
742091	430	0	he cried 			
742092	430	0	when			
742093	430	0	he ordered 			
742094	430	0	sickness			
742095	430	0	smallpox			
742096	430	0	vaccine			
742097	430	0	person			
742098	430	0	so			
742099	430	0	Children			
742100	430	0	he saw			
742101	430	0	schools 			
742102	430	0	the future of 			
742103	430	0	bright 			
742104	430	0	third			
742105	430	0	from Shiraz			
742106	430	0	you can			
742107	430	0	Destroyed			
742108	430	0	I go			
742109	430	0	dearest			
742110	430	0	good			
742111	430	0	soul			
742112	430	0	Peace			
742113	430	0	goal			
742114	430	0	friend			
742115	430	0	God			
742116	430	0	in			
742117	430	0	verse 			
742118	430	0	is love			
742119	430	0	Explicitly			
742120	430	0	he says			
742121	430	0	school			
742122	430	0	does			
742123	430	0	becomes			
742124	430	0	Perseverance			
742125	430	0	a useful			
742111	430	0	soul			
742112	430	0	Peace			
742113	430	0	goal			
742114	430	0	friend			
742115	430	0	God			
742116	430	0	in			
742117	430	0	verse 			
742118	430	0	is love			
742119	430	0	Explicitly			
742120	430	0	he says			
742121	430	0	school			
742122	430	0	does			
742123	430	0	has been			
742124	430	0	Perseverance			
742125	430	0	a useful			
742126	430	0	mother			
742127	430	0	had been			
742128	430	0	desert 			
742129	430	0	Mrs			
742130	430	0	perfect 			
742131	430	0	inter 			
742132	430	0	distinguished			
742133	430	0	graduate 			
742134	430	0	the rest			
742135	430	0	English			
742136	430	0	astronomy 			
742137	430	0	Realized			
742138	430	0	Talent			
742139	430	0	Einstein			
742140	430	0	time			
742141	430	0	learn			
742142	430	0	he			
742143	430	0	services 			
742400	430	0	nutritive			
742656	430	0	his family			
742912	430	0				
743168	430	0	I understood			
742401	430	0	pregnancy 			
742657	430	0	his mother			
742913	430	0	excuse 			
743169	430	0	bliss			
742402	430	0	Advice			
742658	430	0	Goharshad			
742914	430	0	I want			
743170	430	0	pleasure			
742403	430	0	items			
742659	430	0	his sons 			
742915	430	0	would you please			
743171	430	0	comfort			
742404	430	0	is			
742660	430	0	He grew up and trained			
742916	430	0	exactly 			
743172	430	0	but			
742405	430	0	Protein			
742661	430	0	difficulties of			
742917	430	0	Slippers			
743173	430	0	at last			
742406	430	0	dairy 			
742662	430	0	Tolerated			
742918	430	0	hair dryer 			
743174	430	0	sixth			
742407	430	0	low fat			
742663	430	0	educated			
742919	430	0	soap 			
743175	430	0	Set			
742408	430	0	meat			
742664	430	0	His education			
742920	430	0	shampoo			
743176	430	0	is made			
742409	430	0	Lentils			
742665	430	0	average 			
742921	430	0	even			
743177	430	0	by			
742410	430	0	pea			
742666	430	0	finish			
742922	430	0	curtain 			
743178	430	0	Impact			
742411	430	0	bread			
742667	430	0	American 			
742923	430	0	Bedding			
743179	430	0	feelings 			
742412	430	0	fruits			
742668	430	0	to become			
742924	430	0	blanket 			
743180	430	0	feelings			
742413	430	0	Berry			
742669	430	0	1303			
742925	430	0	dirty 			
743181	430	0	talent 			
742414	430	0	European			
742670	430	0	1924 			
742926	430	0	I say			
743182	430	0	the transfer			
742415	430	0	orange 			
742671	430	0	18			
742927	430	0	Sorry			
743183	430	0	meaning 			
742416	430	0	banana 			
742672	430	0	Teaching			
742928	430	0	How much			
743184	430	0	creates 			
742417	430	0	apricot 			
742673	430	0	education 			
742929	430	0	your name			
743185	430	0	divide 			
742418	430	0	almond 			
742674	430	0	educated 			
742930	430	0	what is it?			
743186	430	0	statuary			
742419	430	0	Pistachio			
742675	430	0	Arab			
742931	430	0	attractive 			
743187	430	0	glass			
742420	430	0	Walnut			
742676	430	0	Civil			
742932	430	0	by mistake			
743188	430	0				
742421	430	0	date			
742677	430	0	medical 			
742933	430	0	has happened 			
743189	430	0	painting 			
742422	430	0	of course 			
742678	430	0	biology 			
742934	430	0	ninety 			
743190	430	0	Calligraphy			
742423	430	0	your food			
742679	430	0	electricity 			
742935	430	0	is six			
743191	430	0	abbreviation  			
742424	430	0	try			
742680	430	0	mathematics 			
742936	430	0	upside down			
743192	430	0	septette			
742425	430	0	foods of			
742681	430	0	ultimate 			
742937	430	0	you read			
743193	430	0	we explore 			
742426	430	0	Fat			
742682	430	0	field 			
742938	430	0	you went			
743194	430	0	7000			
742427	430	0	eat			
742683	430	0	item			
742939	430	0	Busy			
743195	430	0	Choqazanbil			
742428	430	0	open minded 			
742684	430	0	his interest 			
