0.000000	0.000000	1741
8.121299	8.121299	1742
14.963215	14.963215	1743
17.911357	17.911357	1744
21.137627	21.137627	1745
24.252645	24.252645	1746
27.478915	27.478915	1747
30.593933	30.593933	1748
38.103353	38.103353	1749
40.828995	40.828995	1750
43.387760	43.387760	1751
45.835275	45.835275	1752
48.783417	48.783417	1753
51.731560	51.731560	1754
54.957829	54.957829	1755
58.017223	58.017223	1756
61.020991	61.020991	1757
63.635381	63.635381	1758
66.472273	66.472273	1759
73.759192	73.759192	1760
78.153593	78.153593	1761
84.272380	84.272380	1762
90.335541	90.335541	1763
95.453072	95.453072	1764
100.236851	100.236851	1765
105.354381	105.354381	1766
109.971284	109.971284	1767
114.977564	114.977564	1768
120.095095	120.095095	1769
125.323876	125.323876	1770
130.274531	130.274531	1771
135.614563	135.614563	1772
141.177096	141.177096	1773
146.906506	146.906506	1774
152.469039	152.469039	1775
156.863440	156.863440	1776
161.591594	161.591594	1777
166.709124	166.709124	1778
175.553552	175.553552	1779
180.170455	180.170455	1780
185.232360	185.232360	1781
190.127390	190.127390	1782
194.299290	194.299290	1783
198.526815	198.526815	1784
202.587464	202.587464	1785
206.981866	206.981866	1786
211.153766	211.153766	1787
216.104420	216.104420	1788
232.458268	232.458268	1789
235.962664	235.962664	1790
239.745187	239.745187	1791
244.139588	244.139588	1792
248.589615	248.589615	1793
252.928391	252.928391	1794
257.823420	257.823420	1795
261.939695	261.939695	1796
266.612223	266.612223	1797
270.839748	270.839748	1798
274.956023	274.956023	1799
279.517300	279.517300	1800
283.522324	283.522324	1801
287.749850	287.749850	1802
291.921750	291.921750	1803
295.815523	295.815523	1804
299.876172	299.876172	1805
303.936822	303.936822	1806
308.720600	308.720600	1807
312.781250	312.781250	1808
316.506504	316.506504	1809
320.722267	320.722267	1810
325.586609	325.586609	1811
330.559047	330.559047	1812
333.964086	333.964086	1813
338.071753	338.071753	1814
342.611805	342.611805	1815
345.152073	345.152073	1816
350.719041	350.719041	1817
352.610730	352.610730	1818
357.258879	357.258879	1819
359.528905	359.528905	1820
363.906812	363.906812	1821
367.041610	367.041610	1822
372.338338	372.338338	1823
374.608364	374.608364	1824
378.986272	378.986272	1825
381.364395	381.364395	1826
386.012543	386.012543	1827
388.066377	388.066377	1828
392.336188	392.336188	1829
394.660262	394.660262	1830
399.146266	399.146266	1831
401.200099	401.200099	1832
407.415647	407.415647	1833
409.631625	409.631625	1834
413.090713	413.090713	1835
414.982401	414.982401	1836
419.900791	419.900791	1837
422.332962	422.332962	1838
428.818751	428.818751	1839
431.304970	431.304970	1840
437.358373	437.358373	1841
440.006737	440.006737	1842
445.195368	445.195368	1843
449.681372	449.681372	1844
463.139385	463.139385	1845
464.706784	464.706784	1846
465.355362	465.355362	1847
466.274183	466.274183	1848
469.733270	469.733270	1849
472.165441	472.165441	1850
475.408335	475.408335	1851
479.461954	479.461954	1852
483.839861	483.839861	1853
487.731335	487.731335	1854
492.001146	492.001146	1855
496.162860	496.162860	1856
500.865057	500.865057	1857
506.053689	506.053689	1858
510.863982	510.863982	1859
516.106662	516.106662	1860
521.511486	521.511486	1861
526.970358	526.970358	1862
532.537327	532.537327	1863
538.320489	538.320489	1864
543.022686	543.022686	1865
548.049172	548.049172	1866
552.805418	552.805418	1867
558.480483	558.480483	1868
563.885307	563.885307	1869
569.452276	569.452276	1870
575.343535	575.343535	1871
581.450986	581.450986	1872
