0.337989	0.337989	1
0.589515	0.589515	2
0.636676	0.636676	3
0.911783	0.911783	4
0.953049	0.953049	5
1.312653	1.312653	6
2.185135	2.185135	7
2.477927	2.477927	8
2.845392	2.845392	9
3.372025	3.372025	10
3.882938	3.882938	11
4.590356	4.590356	12
4.773105	4.773105	13
4.816336	4.816336	14
5.168080	5.168080	15
5.232927	5.232927	16
5.761525	5.761525	17
6.005191	6.005191	18
6.712609	6.712609	19
7.420027	7.420027	20
7.875918	7.875918	21
8.221767	8.221767	22
8.889884	8.889884	23
9.581581	9.581581	24
9.931360	9.931360	25
9.945115	9.945115	26
10.320440	10.320440	27
